"ANO";"NIVEL";"CODMUNRES";"TO";"TORC";"TORCR";"TO_NN";"TO_N";"TO_CB_I";"TO_CB_N";"TO_CB_C";"TO_CB_R";"TO_CB_O";"TO_M";"TO_F";"TO_F_IF";"TO_FT";"TO_NT";"TO_NT_P";"TO_NT_T";"TO_PNT";"TONT_B";"TONT_PT";"TONT_A";"TONT_PD";"TONT_I";"TO_MT";"TO_MT_DG";"TO_MT_PT";"TO_MT_AB";"TO_MT_42";"TO_MT_43";"TO_MT_P";"TO_MT_P_I";"TO_MT_P_ES";"TO_MT_P_EFI";"TO_MT_P_EFII";"TO_MT_P_EM";"TO_MT_P_ESI";"TO_MT_P_ESC"
2016;"UF";"350000";587;9;NA;326;261;14;9;65;34;139;506;59;19;0;3;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"350010";319;4;NA;24;295;4;61;100;36;94;183;136;2;0;1;1;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"350020";32;0;NA;5;27;1;4;10;9;3;23;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"350030";244;17;NA;14;230;6;31;47;29;117;137;107;8;0;8;4;4;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"350040";83;3;NA;4;79;1;13;21;13;31;45;38;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"350050";154;8;NA;7;147;5;32;48;20;42;94;60;6;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"350055";46;3;NA;1;45;0;5;11;4;25;20;26;1;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"350060";29;1;NA;5;24;0;3;7;5;9;18;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"350070";271;9;NA;20;251;7;45;76;32;91;170;101;9;0;4;3;1;4;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"350075";34;1;NA;2;32;1;6;8;4;13;22;12;1;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"350080";33;1;NA;2;31;0;7;7;6;11;21;12;1;0;2;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"350090";31;0;NA;1;30;2;4;15;5;4;23;8;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"350100";129;2;NA;7;122;5;31;44;15;27;72;57;5;0;2;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"350110";32;0;NA;0;32;1;9;6;5;11;21;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"350115";124;6;NA;8;116;2;20;43;17;34;68;56;6;0;2;2;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"350120";31;5;NA;5;26;3;3;8;4;8;17;14;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;1;0;0
2016;"UF";"350130";185;7;NA;22;163;6;39;47;16;55;111;74;9;0;2;2;0;3;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"350140";27;1;NA;0;27;3;3;6;4;11;16;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"350150";38;1;NA;1;37;1;9;13;7;7;23;15;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"350160";1450;27;NA;99;1351;49;284;295;178;545;794;656;45;0;7;3;4;11;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"350170";209;27;NA;21;188;7;42;53;35;51;117;92;18;0;2;2;0;1;1;0;0;1;0;1;0;0;0;1;0;1;1;0;1;0;0;0;0
2016;"UF";"350180";50;0;NA;6;44;2;9;6;10;17;34;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"350190";596;53;NA;44;552;17;85;155;119;176;308;288;22;0;3;2;1;1;2;0;0;1;0;1;0;0;0;1;0;1;1;0;0;0;1;0;0
2016;"UF";"350200";31;4;NA;1;30;1;5;9;2;13;19;12;3;0;1;1;0;0;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;1;0;0
